folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
DS_for_Air,6cd9ed8fddc09b5aeb8229992bb36327170ce64b,1584445768,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,67f6c85fbd0c472441c4b55430f1128b96376d00,1582630002,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,478a6355faa4266887e78a12930e0e4ba35a07d5,1579000444,2,5,7,29,101.06477719407376,5.8,586.1757077256277
DS_for_Air,5aa6750f61080b06986d9bcdcebc9d2c5dfdd674,1580252350,3,5,16,49,195.0,14.700000000000001,2866.5
DS_for_Air,83c353969841c99bf74f7f94c139e599ca237958,1575644536,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,ec86bcf6defb3b764cf4862db0f5592869ee3c93,1583926061,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,a054893f6e8d22942edf35150517957b9822e8df,1583153048,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,c77cd6841d06c53fd70335843e49ba6556a39891,1579537993,3,5,14,40,162.0,12.0,1944.0
DS_for_Air,2203a6eedfe6edaaa1e5f9949717df0f318cdce4,1578231505,2,5,4,16,56.14709844115208,3.2,179.67071501168667
DS_for_Air,c6aa05d4c69303bb1967dd389f77b5c993d225d7,1580568101,3,5,16,53,207.0,15.899999999999999,3291.2999999999997
DS_for_Air,37728f7adf59d9c1b25f50fbcffd2d28a1955f94,1572984231,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,48ccfc7e2f7f10e51a641ea155ef4c9745658074,1580316945,3,5,16,53,207.0,15.899999999999999,3291.2999999999997
DS_for_Air,30463aa9bf63ba404a6b36a6ff2354db168a5505,1581336871,3,5,16,53,207.0,15.899999999999999,3291.2999999999997
DS_for_Air,d7b6f7109aa3f80c09c6d1d628a0014bf1074984,1577642327,2,5,4,16,56.14709844115208,3.2,179.67071501168667
DS_for_Air,4ac10f1038628a2510976f89815b71a0ee3a8fb8,1575665151,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,05842920383f68ee328fba9a8144a99505aafc56,1581954679,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,7cdf113f86fdb7a68a6d685e9c5f053ca1b408ff,1584532894,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,8652f461c69a6cdd70a209fdfddf9168971e783c,1580298052,3,5,16,53,207.0,15.899999999999999,3291.2999999999997
DS_for_Air,cc2b7656109e72bf4d15369333f49194a134fa29,1577529900,2,5,4,16,56.14709844115208,3.2,179.67071501168667
DS_for_Air,00f1d96c02aba20e3fb303c5cfa17f7b89728087,1583505873,3,5,22,77,297.0,23.1,6860.700000000001
DS_for_Air,d9c96a7dde784fc6ca2ece4ab0283224cb6173c4,1572444453,1,4,1,4,11.60964047443681,0.5,5.804820237218405
DS_for_Air,5a01981b89fdd06c89c6c5ff8bab7cd8f5ea7834,1576008013,2,5,3,8,30.880904142633646,1.6,49.409446628213836
DS_for_Air,cf1fc0cf6566dae3046be6e6164c572c2dcea032,1580240544,3,5,16,49,195.0,14.700000000000001,2866.5
DS_for_Air,98239a355ccbedffaab07ca887ac44e468b8a96a,1579522739,2,5,7,29,101.06477719407376,5.8,586.1757077256277
DS_for_Air,2e80ec4ec35987267a5d96fc9acc8f62871323ef,1579868237,3,5,16,49,195.0,14.700000000000001,2866.5
DS_for_Air,d2658395daf4938aa26a12eeb16ff33d4f5da87d,1583493946,3,5,19,68,261.0,20.4,5324.4
DS_for_Air,0beb39c28e7396881eb5cfad4e6f35993c7269d9,1583492845,3,5,19,68,261.0,20.4,5324.4
