folder_name,dvc_commit,time,complexity,E,N,P
INTRUDE-refactor,88ef08e042afb126e26886b8302009075afe7444,1569384930,1,0,1,1
INTRUDE-refactor,c98750cd09f923c4ff07ab982dc5d1adad6835a9,1570902571,2,0,2,2
INTRUDE-refactor,a3176e10c3c281fff37f3c70a51ef68baff325c0,1571185697,2,1,3,2
INTRUDE-refactor,587356121263715a71a2d851f0a88e948487c3d2,1570484048,2,0,2,2
INTRUDE-refactor,0413674ad26845de1e5cea4ba800527e2ee8231c,1570757020,3,0,3,3
INTRUDE-refactor,04ae355e3a80f58710c974b435f9d849110c8cff,1571190407,2,1,3,2
INTRUDE-refactor,a8b3e44c0f41040b26fda4aafdc204e1c7362b6b,1571172134,2,0,2,2
