folder_name,dvc_commit,time,n1,n2,N1,N2,Volume,Difficulty,Effort
lendingclub,71d1c586168dacf7efa64af3a5566f707b8a3a59,1570758726,3,4,30,96,353.7267201792581,36.0,12734.161926453293
lendingclub,cfcaf99b389295480983a35e5d6e034d0e997326,1570853225,3,4,27,85,314.42375127045165,31.875,10022.257071745646
lendingclub,461f1f889ac8cc45b771bb8a8ed90a6079da055f,1571175972,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,206237baad3ec5e4fa57eb299287490b6f6d7e2f,1570751187,3,6,30,100,412.0902501875006,25.0,10302.256254687514
lendingclub,ec67b60d8dd86e75730dcd5f89d298baf650fae9,1571119818,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,8276d550187b06dc5f1b90a938ed00fdf5fa6d31,1571283887,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,cf44e9e307e091531d2ebb113d0d89c531173215,1571437995,3,4,30,101,367.76349478954614,37.875,13929.04236515406
lendingclub,985253ac4cb011405fb9121530261b342d4c83db,1570832107,3,4,30,96,353.7267201792581,36.0,12734.161926453293
lendingclub,7226dbb0ae25b4ef64fd3d277c3f11d84f47711a,1573534901,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,6b94550d0781dda06cf0f65dee28f5388374a848,1571176465,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,b24f0784f2db7e2b92906c4470a3ed0b9e04499d,1570664975,3,4,30,92,342.4973004910277,34.5,11816.156866940457
lendingclub,c06b688ed7d795d22e21c2a0cc4d6d7ea5942490,1572329185,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,2e3b5936c32fa7c3c91796089a9d25f6442b5c40,1571122878,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,6ddbe666ecc0274c9c6a43caca29e8d90fbc2909,1569995075,3,4,21,128,418.295883386583,48.0,20078.202402555984
lendingclub,c0aaa8756250b15cfac6e85ccffd86e728ade7b1,1570744296,3,4,30,96,353.7267201792581,36.0,12734.161926453293
lendingclub,5e7cdeed39386e899fb00d65e85fda121564f7ce,1569739681,3,4,8,20,78.60593781761291,7.5,589.5445336320969
lendingclub,3a75287a517b9d9216cd502cb23b3128487f4b56,1570759320,3,6,30,98,405.75040018461596,24.5,9940.884804523092
lendingclub,898711f2cf7edd3ef73af00e8c1add41793f4b67,1575241481,3,4,30,109,390.222334166007,40.875,15950.337909035536
lendingclub,44b62090234e3b7736e6f113271092fd65cb132b,1570242848,3,4,21,128,418.295883386583,48.0,20078.202402555984
lendingclub,bacc16da589aa4ed8e2dceaec8e7fb4ae44e5e50,1576876696,3,4,31,115,409.8738186204102,43.125,17675.808428005188
lendingclub,0c75b928c8b60883f9ba2c1bfa680c99e1d72da5,1575242243,3,4,31,113,404.259108776295,42.375,17130.479734395503
lendingclub,cc7cbf00374b17d016e1c31a099722a721f4bdf8,1571443454,3,4,30,101,367.76349478954614,37.875,13929.04236515406
lendingclub,4a6e534dc30188b43817a8efdb9396aa6ad0d435,1571176170,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,dd070896a0e7d9a4ee7cfdb1d491c1307416a6ba,1575261661,3,4,31,115,409.8738186204102,43.125,17675.808428005188
lendingclub,8c81a74777fdd3607d046411dba2b14cd707f4b1,1571122543,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,3aa10ada159feb8be79985fc14031cd6c281217b,1571422415,3,4,30,101,367.76349478954614,37.875,13929.04236515406
lendingclub,7a69f31e2d261c3be2a2274fd4b5eb9b5f19f758,1570248610,3,4,21,128,418.295883386583,48.0,20078.202402555984
lendingclub,653ce130a8ac982a74db1e075c8f83ece7ac88ee,1569714773,1,4,1,4,11.60964047443681,0.5,5.804820237218405
lendingclub,9124ef0b93cf8ae2fb6a1d74333573e47272b9c9,1569717843,3,4,4,9,36.49561398674886,3.375,123.17269720527739
lendingclub,95cc45691ad0d9487f06b2de7a19c2196b146f6d,1571121056,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,37ce73f3b45f837a57ae36f05e091d0b4bff969a,1576903815,3,4,31,115,409.8738186204102,43.125,17675.808428005188
lendingclub,13a6011a8a697eac5aee024558b8aabff48e9d38,1573633032,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,7fb21faaa593a19bb1b369798a21587f74afbbed,1569784454,3,4,11,26,103.87213211613135,9.75,1012.7532881322807
lendingclub,e80a9d77eb5155207a6fffeb664968d185177bfa,1574024785,3,4,30,106,381.8002693998342,39.75,15176.560708643408
lendingclub,caf62a277ad970996317736d5d3114f34bc98ab8,1570752101,3,4,30,96,353.7267201792581,36.0,12734.161926453293
lendingclub,9e75f4727bacc81ba7a7f0c2509e7073162bc9b7,1571121403,3,4,30,103,373.37820463366137,38.625,14421.73315397517
lendingclub,daa5add3adb78c705c350da1c45f081827f9cb71,1570758926,3,6,30,98,405.75040018461596,24.5,9940.884804523092
lendingclub,9a8952dc86ca15061fc2757f744d3a40564e3398,1570752290,3,5,30,97,381.0,29.099999999999998,11087.099999999999
lendingclub,d7cce757bbfafdb7f94794300ccd5a2c2dfaacbb,1572954984,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,38b746b69eeb596e8d6ea4b78efceaa09401c435,1572213529,3,4,30,105,378.99291447777654,39.375,14922.846007562452
lendingclub,b48456d01ccdb0109614f76d690abb5174e8f92d,1571443804,3,4,30,101,367.76349478954614,37.875,13929.04236515406
lendingclub,869d24436f011c3eceb792db1ab18d088d4bb773,1571175800,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,0b2b88403ef3b8d7f8531fb0be15d5a06720f387,1571175430,3,4,30,99,362.1487849454309,37.125,13444.773641099122
lendingclub,5d2ad583213611cdc2fb67af33f5fa89dd850fcb,1571175359,3,4,30,99,362.1487849454309,37.125,13444.773641099122
