folder_name,dvc_commit,time,complexity,E,N,P
xray,d268e262690d5d642b2d608b35b46dc17c1520d1,1562286236,1,0,1,1
xray,270a88db072cd6191cbb95bcc2dd436500d1d6f4,1558557181,1,0,1,1
xray,03c12d3bcbfe5446f9919f1aff684ef2dfef38e1,1561891369,1,0,1,1
xray,e9bfc0034ded37c8ef12fa62c6c06fa7b7f1759d,1560959607,1,0,1,1
xray,437555e1f98eef78c11724405d088c85b09f20f4,1561102659,1,0,1,1
xray,956ecf383255357ea550363653ce2a92e2a7c7c1,1560958853,1,0,1,1
xray,e0609937afb79801873b600612d24d6cc05d5945,1561566228,1,0,1,1
xray,8a78f06ff1d26b20d7f08b6bc21f5737bd8c1e25,1562286236,1,0,1,1
xray,58825ffea7340bc252ed8d1adbc502497e28216c,1562286236,1,0,1,1
xray,cab43eaedf0be81b7a40cf3795e5d1e69c218eef,1559327182,1,0,1,1
xray,f0cc82eefd12bfe5ffa17521baeda0092f5171d9,1561038761,1,0,1,1
xray,60061b66cc4242181e33af2d171db2d5702e001a,1559743982,1,0,1,1
xray,fa48ec2d88fe804843ba7ecbd98a4ffbfe3fdd6f,1559509815,1,0,1,1
xray,188b1baf50378eda7dbefe2c04b9a3e9575abfa3,1560017580,1,0,1,1
xray,20d3471a4bcfc2740790d16d2828c70bd762e0b9,1560959152,1,0,1,1
xray,0d08eec4801984668e17fbaba87127ba22d35734,1557505441,1,0,1,1
xray,9bd379cb84ae4997b757a7cf9c2ece865346a938,1561552944,1,0,1,1
xray,db254a3af66be4e631ee2581ffa59fb2cebd7712,1561929416,1,0,1,1
xray,5e0d55d404acd387ebc13390679acbe343cf449e,1561892582,1,0,1,1
xray,f8261b4d85a7eb11a1c6a690f331b8c2d5ffbb0b,1561811347,1,0,1,1
xray,ff0a149ff4f686832acf73c0fe9c225865230021,1561631786,1,0,1,1
xray,87731baeb46370b066001762ec0b0515bbc9ec86,1561553766,1,0,1,1
xray,443a3eb079b0a72265b8e432384c1d6dc903eef6,1561489762,1,0,1,1
xray,2ff9363d900a362f493c1944e04acf98088be259,1561319508,1,0,1,1
xray,3db77a61a8b57b1c28855a6d0c6faf4ecca96b50,1561105947,1,0,1,1
xray,49d037af3eb35bf541203294b321bfc3795a0d88,1560958938,1,0,1,1
xray,32ddb57512f90330f99c6e0437b211234d19b41d,1560324149,1,0,1,1
xray,8259a1bbb6a1142ffc8a686d29d2f3dbea3151ef,1560260172,1,0,1,1
xray,1609d2111722673bb5c2fe3787d6ebc947cd125c,1560258677,1,0,1,1
xray,c1fd73859d5bb3e94bd3e556d5392871203a13a2,1560169799,1,0,1,1
xray,108781edfaccdd7c9cc6e98338af9907cb7f2400,1560169571,1,0,1,1
xray,9efa6cee6529b7af34a7c1e293290d713cf769a3,1559927247,1,0,1,1
xray,d90a79d90ab56cb3e273e647442cbd0fa14b099b,1559510829,1,0,1,1
xray,21f6978a4b530af8179e8ee2ef23e5fba4df7f73,1559315311,1,0,1,1
xray,d5d5e86e7805851e7d41ee065ce6386527687b02,1558788491,1,0,1,1
xray,7eebf6796fb7885d350231ea5e357d8e88cb5f91,1558597351,1,0,1,1
xray,8cb4cff0ba9d96bcfe680712401a3c713782eabb,1558596229,1,0,1,1
xray,5d6c6b613b6fb1ec41e4773b5aa5b541fbe1edbb,1557578898,1,0,1,1
xray,530b075f2786a9a9a41d37716eb795803f74107a,1557505662,1,0,1,1
