folder_name,dvc_commit,time,complexity,E,N,P
data-playground,3664bae36ecdf2d50ab6ea5fc0b3af60becdf2dd,1576496020,11,0,11,11
data-playground,0ed1084a89ef80ee347d67cf562758eecfb0ebb8,1576488658,1,0,1,1
data-playground,34a5d86fb988449b31bf1f6d966824659587b8f2,1576495885,9,0,9,9
data-playground,9c348911b2a7424c598e2afc5c9487f5f2ef0f9c,1576355074,1,0,1,1
data-playground,cf4487c5560fe9a52d9270987061e57f46f6afb9,1576496268,28,0,28,28
data-playground,d6ed78bd66571ad29efa79d2738f22d08d8f464b,1576488525,2,0,2,2
data-playground,69beedf91c752964f8928113dbfb9d4e40a7c04c,1576496116,17,0,17,17
data-playground,72365223282a8f45442c34ead95ffd391c0795cb,1576495705,6,0,6,6
