folder_name,dvc_commit,time,complexity,E,N,P
lendingclub,c06b688ed7d795d22e21c2a0cc4d6d7ea5942490,1572329185,5,13,10,1
lendingclub,985253ac4cb011405fb9121530261b342d4c83db,1570832107,8,12,10,3
lendingclub,29b5568602a844621088a41b0013ae8ab7125d41,1569733160,1,2,3,1
lendingclub,595529350ced9f515e9c754903b3c24c06da8bd0,1576900009,7,14,11,2
lendingclub,bacc16da589aa4ed8e2dceaec8e7fb4ae44e5e50,1576876696,7,14,11,2
lendingclub,67236d4dcbba0b30beb7c2336d9ea1d8e032d7e6,1571995389,9,13,10,3
lendingclub,bc05f6d82995070d7ba050b97960dbbf1a1f56c1,1570752438,8,12,10,3
lendingclub,5e7cdeed39386e899fb00d65e85fda121564f7ce,1569739681,2,2,4,2
lendingclub,653ce130a8ac982a74db1e075c8f83ece7ac88ee,1569714773,1,0,1,1
lendingclub,7fb21faaa593a19bb1b369798a21587f74afbbed,1569784454,2,3,5,2
lendingclub,7a69f31e2d261c3be2a2274fd4b5eb9b5f19f758,1570248610,5,8,7,2
lendingclub,f8415ca4fa7bf876e1729952646f48f561eca93a,1570860108,6,12,10,2
lendingclub,cfcaf99b389295480983a35e5d6e034d0e997326,1570853225,6,11,9,2
lendingclub,d7cce757bbfafdb7f94794300ccd5a2c2dfaacbb,1572954984,7,13,10,2
lendingclub,38b746b69eeb596e8d6ea4b78efceaa09401c435,1572213529,9,13,10,3
lendingclub,b48456d01ccdb0109614f76d690abb5174e8f92d,1571443804,7,13,10,2
lendingclub,869d24436f011c3eceb792db1ab18d088d4bb773,1571175800,6,12,10,2
lendingclub,0b2b88403ef3b8d7f8531fb0be15d5a06720f387,1571175430,6,12,10,2
lendingclub,5d2ad583213611cdc2fb67af33f5fa89dd850fcb,1571175359,6,12,10,2
